   119/399     8.16G   0.03157  0.008342         0   0.03992        18       768         0         0    0.1909   0.05348   0.06177  0.004341         0
   120/399     8.16G   0.03507  0.008174         0   0.04325        18       768         1   0.02326    0.2983   0.09422   0.05976  0.004429         0
   121/399     8.16G   0.02857  0.008165         0   0.03673        18       768         1   0.02326    0.2569   0.09491   0.06023  0.004472         0
   122/399     8.16G   0.03414  0.008212         0   0.04235        18       768         1   0.02326    0.2651   0.08921   0.06247  0.004519         0
   123/399     8.16G   0.03037  0.008357         0   0.03873        18       768         0         0     0.221   0.06321   0.06005  0.004572         0
   124/399     8.16G   0.03179  0.008035         0   0.03983        17       768         0         0     0.177   0.04625   0.05978  0.004357         0
   125/399     8.16G   0.03098  0.008063         0   0.03904        17       768         0         0    0.1819   0.04406   0.05882   0.00425         0
   126/399     8.16G   0.03246  0.008079         0   0.04054        18       768         1   0.02326    0.1481   0.04286   0.06052  0.004263         0
   127/399     8.16G   0.03322  0.008153         0   0.04137        18       768         1   0.02326    0.1559   0.05249   0.05939  0.004481         0
   128/399     8.16G   0.03458   0.00813         0   0.04271        18       768         1   0.02326     0.164   0.06457   0.05865  0.004615         0
   129/399     8.16G   0.03553  0.008373         0    0.0439        17       768         0         0    0.1198    0.0282   0.06052  0.004651         0
   130/399     8.16G   0.03556  0.008044         0   0.04361        18       768         0         0   0.06384   0.01365   0.05802  0.004665         0
   131/399     8.16G   0.03233  0.008286         0   0.04062        18       768         0         0    0.1121   0.02781   0.05622  0.004676         0
   132/399     8.16G   0.03157  0.008174         0   0.03975        18       768         1   0.02326    0.1537    0.0452   0.05426  0.004734         0
   133/399     8.16G   0.03163  0.007981         0   0.03961        18       768         0         0    0.1264   0.03186   0.05368  0.004724         0
   134/399     8.16G   0.03063  0.007986         0   0.03861        18       768         1   0.02326    0.1581   0.03544    0.0546  0.004546         0
   135/399     8.16G   0.03584  0.008117         0   0.04396        18       768         0         0    0.1378    0.0315   0.05694  0.004578         0
   136/399     8.16G   0.03136  0.007848         0   0.03921        18       768         0         0   0.09473   0.02711   0.05917  0.004775         0
   137/399     8.16G   0.03023  0.008015         0   0.03825        18       768         0         0    0.1014   0.03492   0.06085   0.00462         0
   138/399     8.16G   0.02931   0.00804         0   0.03734        18       768         0         0     0.123   0.04253   0.06078  0.004489         0
   139/399     8.16G   0.02937  0.008179         0   0.03755        18       768         0         0    0.1318   0.05017   0.06116  0.004715         0
   140/399     8.16G   0.02943   0.00787         0    0.0373        18       768         1   0.02326    0.1615   0.04236   0.05701  0.004599         0
   141/399     8.16G   0.03324  0.007698         0   0.04094        17       768         1   0.02326    0.1514   0.03694   0.06004  0.004598         0
   142/399     8.16G   0.03197  0.008099         0   0.04007        18       768         0         0    0.1028   0.03039   0.05734  0.004691         0
   143/399     8.16G   0.02842  0.008418         0   0.03683        18       768         0         0   0.08639   0.02145   0.06151  0.004651         0
   144/399     8.16G   0.02915  0.008002         0   0.03715        17       768         0         0   0.07283   0.02039   0.06079  0.004476         0
   145/399     8.16G    0.0306  0.008112         0   0.03871        18       768         1   0.02326    0.1782    0.0542   0.05872  0.004351         0
